query_id,category,#gold,A_precision@30,B_precision@30,A_ndcg@30,B_ndcg@30,A_recall@30,B_recall@30
B095NYQZ3D,bra,3,0.1,0.0,1.0,0.0,1.0,0.0
B00WGU7ASW,belt,9,0.3,0.26666666666666666,0.9971876401972103,0.9458084251998471,1.0,0.8888888888888888
B07GVG5QBZ,hoodie,4,0.06666666666666667,0.06666666666666667,0.8315546295836225,1.0,0.5,0.5
B0895DP1BJ,skincare,37,0.6666666666666666,0.2,0.941024031193175,0.8534868926112653,0.5405405405405406,0.16216216216216217
B075CK1F37,cardigan,5,0.16666666666666666,0.13333333333333333,0.8861022662921658,0.9709286432396581,1.0,0.8
B07GRYVQPK,knob,10,0.3333333333333333,0.3,0.9698905029364279,0.9463944424880203,1.0,0.9
B07HH458B6,hair_extensions,56,0.8,0.4666666666666667,0.9888125346678623,0.9529560770232097,0.42857142857142855,0.25
B08CGWHCNN,cosmetic,12,0.13333333333333333,0.03333333333333333,0.6173712503431843,0.3333333333333333,0.3333333333333333,0.08333333333333333
B07FNSTXCM,stove,5,0.13333333333333333,0.1,0.6004696855059581,0.7259005546067226,0.8,0.6
B0017SJOPG,washing_machine,3,0.1,0.06666666666666667,0.8921776538210152,0.36181498356361597,1.0,0.6666666666666666
B00XPZ5QXS,necklace,9,0.23333333333333334,0.13333333333333333,0.7519335576672018,0.615719814356868,0.7777777777777778,0.4444444444444444
B09B9NFFSM,toothbrush,4,0.03333333333333333,0.06666666666666667,0.3562071871080222,0.31830573114059474,0.25,0.5
B08778RT77,ice maker,12,0.26666666666666666,0.23333333333333334,0.971261714948811,0.8169989941436612,0.6666666666666666,0.5833333333333334
B08P83SKK6,shoes,10,0.1,0.13333333333333333,0.321512719551145,0.43251034642190384,0.3,0.4
B00ZGYTTNE,cosmetic,12,0.13333333333333333,0.06666666666666667,0.6892517976713222,0.34046674428368096,0.3333333333333333,0.16666666666666666
B01D86KD6I,lipstick,13,0.4,0.3333333333333333,0.8589132110088287,0.9529627249671583,0.9230769230769231,0.7692307692307693
B08DRX8MZ7,shampoo,5,0.16666666666666666,0.1,0.886485219496592,0.4488422723054353,1.0,0.6
B07BXHZLV4,hair accessory,11,0.03333333333333333,0.03333333333333333,0.43067655807339306,0.2037950470905062,0.09090909090909091,0.09090909090909091
B071GQQ18G,sunglasses,6,0.2,0.16666666666666666,0.9930783166417602,0.8821950005967615,1.0,0.8333333333333334
B003GV3TKS,refrigerator,8,0.26666666666666666,0.13333333333333333,0.9866407447105281,0.9828920819566879,1.0,0.5
B09MLFPPT4,wig,28,0.36666666666666664,0.5666666666666667,0.9294143449875273,0.8932105717703297,0.39285714285714285,0.6071428571428571
B08PNJQZ5Y,refrigerator water filter,11,0.36666666666666664,0.16666666666666666,0.6906882478562795,0.6382859196458098,1.0,0.45454545454545453
B08TB6KRJL,ice maker,12,0.26666666666666666,0.2,0.5197044797287457,0.6146679671521017,0.6666666666666666,0.5
B07G58XFB7,earrings,15,0.43333333333333335,0.26666666666666666,0.9381357117159305,0.6122724180324621,0.8666666666666667,0.5333333333333333
B077D8QM6K,shampoo,5,0.16666666666666666,0.0,0.7788574407939899,0.0,1.0,0.0
B075874B5Q,underwear,3,0.03333333333333333,0.03333333333333333,0.2890648263178879,0.23137821315975915,0.3333333333333333,0.3333333333333333
B07CX63S81,hair accessory,11,0.13333333333333333,0.16666666666666666,0.5822196309811657,0.4671490446521188,0.36363636363636365,0.45454545454545453
B077J71TTL,mechanical parts,3,0.06666666666666667,0.0,0.32263571014315945,0.0,0.6666666666666666,0.0
B016G7APCS,hair accessories,19,0.23333333333333334,0.36666666666666664,0.8289617900824229,0.8799707102906441,0.3684210526315789,0.5789473684210527
B00YD3IHUA,refrigerator water filter,11,0.36666666666666664,0.3,0.8273722558819591,0.851900592017333,1.0,0.8181818181818182
