attribute,#gold,recall@20_off,recall@20_on,delta,ndcg@20_off,ndcg@20_on,enrich_only_hits
leather,19,0.0,0.3684210526315789,0.3684210526315789,0.0,0.4631331983952884,7
floral,87,0.0,0.0,0.0,0.0,0.0,0
ceramic,14,0.0,1.0,1.0,0.0,0.7163365397841542,14
metallic,187,0.0,0.08021390374331551,0.08021390374331551,0.0,0.6981003797131111,15
velvet,11,0.0,0.8181818181818182,0.8181818181818182,0.0,0.5366822926274164,9
plastic,660,0.0,0.012121212121212121,0.012121212121212121,0.0,0.4926129818093618,8
metal,288,0.003472222222222222,0.003472222222222222,0.0,0.26264953503719357,0.26264953503719357,0
fabric,199,0.0,0.08542713567839195,0.08542713567839195,0.0,0.8371819027729166,17
wooden,7,0.0,1.0,1.0,0.0,0.7211558598969094,7
striped,58,0.0,0.3275862068965517,0.3275862068965517,0.0,0.8866321282718523,19
AVG,1530,0.0003472222222222222,0.3695423551475091,0.36919513292528683,0.02626495350371936,0.5614484818308204,96
