attribute,#gold,#distractor,recall_off,recall_on,delta,distractor_keep_off,distractor_keep_on
durable,180,200,1.0,1.0,0.0,1.0,1.0
comfortable,164,200,0.006097560975609756,1.0,0.9939024390243902,0.005,0.02
soft,187,200,0.0053475935828877,1.0,0.9946524064171123,0.005,0.005
breathable,41,123,0.024390243902439025,1.0,0.975609756097561,0.0,0.0
lightweight,140,200,0.03571428571428571,1.0,0.9642857142857143,0.08,0.08
sturdy,109,200,0.009174311926605505,1.0,0.9908256880733946,0.0,0.0
reliable,296,200,0.0,1.0,1.0,0.0,0.005
effective,212,200,0.0,1.0,1.0,0.0,0.02
affordable,168,200,0.0,1.0,1.0,0.0,0.0
waterproof,8,24,0.0,1.0,1.0,0.0,0.0
adjustable,32,96,0.0625,1.0,0.9375,0.0,0.0
gentle,73,200,0.0136986301369863,1.0,0.9863013698630136,0.0,0.0
AVG,1610,2043,0.09641021885323449,1.0,0.9035897811467656,0.09083333333333334,0.09416666666666666
